Route Code,Fly along
SGMRN-G470/L888-VHHH,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA/RULAD A460 XKC L888 BIGOR W9 CZH B213 CTU W237 IDBOR B330 KWE W181 DUDIT A599 POU R473 SIERA/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
SGMRN-G470/L888-TAMOT,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT/RULAD A460 XKC L888 BIGOR W9 CZH B213 CTU W237 IDBOR B330 KWE W181 DUDIT A599 POU B330 TAMOT/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 TAMOT
SGMRK-G470-VHHH,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA/RULAD A343 POSOT B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/KAMUD A468 XKC B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA
SGMRK-G470-TAMOT,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT/RULAD A343 POSOT B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/KAMUD A468 XKC B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT
SGMRK-G470/Y1-VHHH,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA/RULAD A460 XKC L888 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU R473 SIERA/KAMUD W186 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU R473 SIERA
SGMRK-G470/Y1-TAMOT,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT/RULAD A460 XKC L888 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU B330 TAMOT/KAMUD W186 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU B330 TAMOT
SGMRK-G470/L888-VHHH,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA/RULAD A460 XKC L888 BIGOR W9 CZH B213 CTU W237 IDBOR B330 KWE W181 DUDIT A599 POU R473 SIERA/KAMUD W186 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU R473 SIERA
SGMRK-G470/L888-TAMOT,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT/RULAD A460  XKC L888 BIGOR W9 CZH B213 CTU W237 IDBOR B330 KWE W181 DUDIT A599 POU B330 TAMOT/KAMUD W186 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU B330 TAMOT
SGMN-VHHH,SARIN A368 FKG W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU R473 SIERA/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
SGMN-TAMOT,SARIN A368 FKG W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU B330 TAMOT/GOPTO B206 ADPET W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU B330 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 TAMOT
