Route Code,Departure AD,Fly along,
ASSAD-ZSFZ-01,VTBD VTBS VTSG VTSP,ASSAD A202 AGPOR W71 LH R200 BEBEM A470 FQG,
ASSAD-ZSHC-01,VRMM VTBD VTBS VTSP,ASSAD A202 AGPOR W71 LH R200 BEBEM A470 UGAGO,
ASSAD-ZSNB-01,VDPP VTBD VTBS VTBU VTSB VTSG VTSP,ASSAD A202 AGPOR W71 LH R200 BEBEM A470 LJG B221 SHZ,
ASSAD-ZSWZ-01,VLVT VTBD VTBS VTSB VTSG,ASSAD A202 SIKOU MAGOG A470 LJG B221 DST,
BEKOL-ZBAA-01,NZAA RPLC RPLL RPMM RPVK RPVM VDSA VDSR VVTS WADD WAMM WBKK WBSB WIDD WIHH WIII WMKJ WMKK WSAP WSSL WSSS YBBN YMML YSSY,BEKOL A461 BUBDA W56 DUGEB,
BEKOL-ZBAD-01,RPLL RPMM RPVK VVCR VVDN VVTS WADD WAMM WBKK WBSB WMKK WSAP WSSL WSSS,BEKOL A461 BUBDA W56 ORODO W62 TEKIL G212 BELAX,
BEKOL-ZBHH-01,VVCR VVDN,BEKOL A461 BUBDA W56 OBMEP B208 TODAM,
BEKOL-ZBTJ-01,NZAA RPLL RPMM RPVK RPVP VVCR WADD WAMM WBKK WMKK WSAP WSSL WSSS YSSY,BEKOL A461 BUBDA W56 GUVRI W85 OMDEK,
BEKOL-ZBYN-01,VVCR VVDN WADD WSAP WSSL WSSS,BEKOL A461 BUBDA W56 OBMEP B208 ANPIG,
BEKOL-ZGHA-01,NZAA PGSN RPLC RPLL RPMM RPVE RPVK RPVM VVCR VVDN VVTS WADD WADL WAMM WBKK WBSB WIDD WIHH WIII WMKJ WMKK WMKL WMKP WSAP WSSL WSSS YMML YSSY,BEKOL A461 MEXON W616 UKLUK,
BEKOL-ZGKL-01,WADD,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP,
BEKOL-ZGSZ-01,RKSI RKSM RKSS RPVK RPVP VDPP VVCR VVPQ VVTS,BEKOL KEVAR,
BEKOL-ZHCC-01,RPLL RPMM RPVE RPVK VVCR VVPQ VVTS WADD WAMM WBKK WBSB WSAP WSSL WSSS YMML YSSY,BEKOL A461 BUBDA W56 IGMIG,
BEKOL-ZHHH-01,RPLL RPMM RPVE RPVK RPVM VVCR VVDL VVDN VVPQ VVTS WADD WAMM WBKK WBSB WIDD WIHH WIII WSAP WSSL WSSS YBCG YMML YSSY,BEKOL A461 BUBDA W56 UPMAT,
BEKOL-ZLXY-01,WADD WAMM WBKK WBSB YSSY,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 WFX W81 NSH,
BEKOL-ZLXY-02,NZAA RPLL RPMM RPVE RPVK RPVM WADD WBKK YMML YSSY,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 SJG W102 SHX,
BEKOL-ZSCN-01,RPLL RPMM RPVE RPVK RPVM VDSV VVCR VVDN WADD WAMM WBKK WIDD WMKK WSAP WSSL WSSS,BEKOL A461 SHL G471 PLT W19 OSONO,
BEKOL-ZSHC-01,VDPP VDSA VDSR WADD WIHH WIII,BEKOL A461 SHL G471 PLT A599 ELNEX,
BEKOL-ZSJN-01,VVCR VVDN WADD WAMM WBKK YMML YSSY,BEKOL A461 BUBDA W56 VADMO W4 GULEK,
BEKOL-ZSNJ-01,VDPP VDSA VDSR VVCR VVDN VVTS WADD WSAP WSSL WSSS,BEKOL A461 SHL G471 PLT A599 TUPGA W135 GOSRO,
BEKOL-ZSOF-01,VVCR VVDN WADD WAMM WMKK,BEKOL A461 BUBDA W56 IDPOG A581 WHA R343 MIDOX,
BEKOL-ZSPD-01,WADD WBKK WIHH WIII WSAP WSSL WSSS YPPH YSSY,BEKOL A461 SHL G471 PLT A599 ELNEX G204 SHZ W58 XSY,
BEKOL-ZSSH-01,VVCR VVDN,BEKOL A461 BUBDA W56 IDPOG A581 WHA R343 MADUK W73 NOBEM W95 OF W178 LAGAL W525 HUN,
BEKOL-ZSSS-01,VDPP VDSA VDSR VVTS WSAP WSSL WSSS,BEKOL A461 SHL G471 PLT A599 ELNEX G204 JTN,
BEKOL-ZSXZ-01,VVCR VVDN,BEKOL A461 SHL G471 PLT A599 TUPGA W135 DOGVI A470 DPX W126 DO,
BEKOL-ZSYA-01,VVCR,BEKOL A461 BUBDA W56 IDPOG A581 WHA R343 OLRIS G345 ZJ W184 PIMOL,
BEKOL-ZSYT-01,VVCR VVDN,BEKOL A461 BUBDA W56 VADMO W4 HCH,
BEKOL-ZUCK-01,NZAA PGSN RPLL RPMM RPVK RPVM WADD WAMM WBKK YBBN YMML YSSY,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 SUMUN W3 QJG,
BEKOL-ZUGY-01,RPVE RPVK RPVM WADD WBKK YMML YSSY,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ESNIB,
BEKOL-ZUTF-01,RPVK YMML,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 RIRKI W232 ELDUD,
BEKOL-ZUUU-01,NZAA PGSN RPLL RPMM RPVK RPVM VVNB WADD WADL WAMM WBKK WBKK WBSB YMML YSSY,BEKOL A461 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 IGNAK,
BEKOL-ZYCC-01,VVCR VVDN,BEKOL A461 BUBDA W56 VYK G212 SOTMU B339 HUR B334 TGO G341 BUTET,
BEKOL-ZYHB-01,VVCR VVDN WSAP WSSL WSSS,BEKOL A461 BUBDA W56 VYK G212 SOTMU B339 HUR B334 TGO G212 RUSBO W203 PIGAM,
BEKOL-ZYTL-01,VVCR,BEKOL A461 BUBDA W56 VADMO W4 HCH W173 NIXEP,
BEKOL-ZYTX-01,VVCR VVDN WADD WSAP WSSL WSSS,BEKOL A461 BUBDA W56 VYK W34 PAMRU W244 IGMOR W36 ENVAV W243 OTBUL W35 CHG A575 OMDUS,
BISUN-ZBAA-01,RJAA RJBB RJCC RJCO RJGG RJNA RJOO RJTT RJTY UHSS UHWW,BISUN B451 WQG G341 TGO G212 UKDUM W49 OSUBA,
BISUN-ZBAD-01,RJAA RJTT RJTY UHWW,BISUN B451 WQG G341 TGO G212 BUMDU,
BISUN-ZBTJ-01,UHWW,BISUN B451 WQG G341 LJB A588 VENOS W573 DBL W5 EKULI W576 OVTUP W55 DUMAP,
BISUN-ZGHA-01,UHWW,BISUN B451 WQG G341 TGO G212 VYK W37 PEXID,
BISUN-ZGSZ-01,UHWW,BISUN B451 WQG G341 TGO G212 VYK W37 OMBEB R473 NOLON W90 POU W7 SAREX W6 NLG W509 KEVAR,
BISUN-ZHCC-01,UHWW,BISUN B451 WQG G341 LJB A588 UDETI W106 MAKNO W5 HCH W4 TAMIX B208 NOPIN,
BISUN-ZHHH-01,UHWW,BISUN B451 WQG G341 LJB A588 UDETI W106 MAKNO W5 HCH W4 EKORO W37 ENLAB,
BISUN-ZJSY-01,UHSS UHWW,BISUN B451 WQG G341 TGO G212 VYK W37 OMBEB R473 POU B330 TAMOT SIKOU A202 SAMAS G221 WL,
BISUN-ZSNJ-01,UHWW,BISUN B451 WQG G341 TGO G212 SOTMU W98 ELKUR W40 YQG W142 DALIM A593 DPX A470 OF,
BISUN-ZSPD-01,PAED PANC UHWW,BISUN B451 WQG G341 LJB A588 CHI W107 SANKO A326 AKARA A593 PUD,
BISUN-ZYCC-01,RJAA RJAH RJBB RJCC RJCO RJGG RJNA RJOO RJSS RJTT RJTY UHWW,BISUN B451 WQG G341 LJB,
BISUN-ZYHB-01,RJAA RJAH RJBB RJGG RJNA RJNS RJOO RJSN RJTT RJTY UHWW,BISUN B451 KETOV,
BISUN-ZYMD-01,UHWW,BISUN B451 UGABI W39 MDJ,
BISUN-ZYTL-01,UHSS UHWW,BISUN B451 WQG G341 LJB A588 VENOS,
BISUN-ZYTX-01,RJAA RJCA RJCC RJCO RJEC RJTT RJTY UHWW,BISUN B451 WQG G341 LJB A588 LEMOT,
BUNTA-ZGGG-01,VVDN VVPQ WIDD,BUNTA A1 IKELA TAMOT W68 IDUMA A461 SHL,
BUNTA-ZGNN-01,WADD,BUNTA G221 SYX W222 NUMKU W223 AGTEL W71 LH R339 WUY,
BUNTA-ZGOW-01,VDPP VDSA VDSR VTBD VTBS VTSG VTSP,BUNTA A1 IKELA DOTMI,
BUNTA-ZJHK-01,VDPP VDSA VDSR VDSV VTBU VTSP VVCR VVDN VVPQ VVTS WARR WBGG WBGR WBKK WBSB WIHH WIII WIMM WMKJ WMKK WMKL WMKP WSAP WSSL WSSS,BUNTA G221 SYX W222 NUMKU,
BUNTA-ZJSY-01,UKBB UKBU UKKK UKKM URKK URRP VDPP VDSA VDSR VDSV VLLB VLVT VTBD VTBS VTBU VTCC VTSP VVCR VVDN VVPQ VVTS VYYY WARR WIHH WIII WMKJ WMKK WMKP WSAP WSSL WSSS,BUNTA G221 WL,
BUNTA-ZSAM-01,VTBD VTBS VTSG VTSP,BUNTA A1 IKELA MAGOG A470 TEBON,
BUNTA-ZSFZ-01,VTBD VTBS VTSG VTSP,BUNTA A1 IKELA MAGOG A470 FQG,
BUNTA-ZSHC-01,VRMM VTBD VTBS VTSP,BUNTA A1 IKELA MAGOG A470 UGAGO,
BUNTA-ZSNB-01,VTBD VTBS VTSB VTSG VTSP,BUNTA A1 IKELA MAGOG A470 LJG B221 SHZ,
GOLOT-ZBAA-01,ZKPY,GOLOT A345 BIDIB A575 UKDUM W49 OSUBA,
GOLOT-ZYCC-01,ZKPY,GOLOT A345 BIDIB A588 LEMOT,
GOLOT-ZYTX-01,RJBB RJGG RJNA RJNT RJOO ZKPY,GOLOT A345 ANSUK,
GOPTO-ZGSZ-01,ELLX,GOPTO B206 NIRAV G588 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU W7 SAREX W6 NLG W509 KEVAR,
