Route Code,Departure AD,Fly along,
LAMEN-ZJHK-01,RJAA RJAH RJBB RJGG RJNA RJOO RJTT RJTY RKNY RKPK RKSI RKSM RKSS RKTU,LAMEN A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 TAMOT SIKOU A202 ISBIG W605 DOMGO,
LAMEN-ZJSY-01,RJAA RJSN RJTT RJTY RKJB RKSI RKSM RKSS,LAMEN A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 TAMOT SIKOU A202 SAMAS G221 WL,
LAMEN-ZJSY-02,RJAH RJBB RJGG RJNA RJOO RKPK RKTN,LAMEN A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 NLG W23 ZUH R200 BIGRO G221 WL,
LAMEN-ZPPP-01,RJAA RJBB RJOO RJTT RJTY RKJJ RKPC RKSI RKSM RKSS,LAMEN A593 PK R343 MADUK W51 LEGIV W164 ADGOL W50 XSH W80 IDGAG A581 QNX W136 XISLI,
LAMEN-ZSAM-01,CYVR KLAX PAED PANC RJAA RJBB RJGG RJNA RJOO RJTT RJTY RKPC RKSI RKSM RKSS,LAMEN A593 DUMET W114 LASAN W13 BEGMO W117 DST B221 LJG A470 AMURI,
LAMEN-ZSAM-02,CYVR KLAX PAED PANC RJAA RJBB RJGG RJNA RJOO RJTT RJTY RKPC RKSI RKSM RKSS,LAMEN A593 DUMET W114 LASAN W13 BEGMO M503 APAKA W123 XLN,
LAMEN-ZSCN-01,RKSI RKSM RKSS,LAMEN A593 PK R343 MADUK W51 LEGIV W164 ADGOL W50 XSH W105 PEXEK,
LAMEN-ZSCN-02,RJAA RJTT RJTY,LAMEN A593 PK R343 MADUK W51 LEGIV W164 ADGOL W50 XSH W105 NCH,
LAMEN-ZSFZ-01,CYVR KEWR KJFK KLAX KLGA RJAA RJAH RJBB RJCC RJCO RJFF RJGG RJNA RJOO RJTT RJTY RKNY RKPC RKSI RKSM RKSS RKTU ROAH RONA,LAMEN A593 DUMET W114 LASAN W13 BEGMO W117 DST B221 LJG,
LAMEN-ZSFZ-02,KEWR KJFK KLGA RJAA RJBB RJGG RJNA RJOO RJTT RJTY RKNY RKPC RKSI RKSM RKSS RKTU ROAH RONA,LAMEN A593 DUMET W114 LASAN W13 BEGMO M503 PONEN W122 FOC,
LAMEN-ZSHC-01,KLAX KMDW KORD KSFO PAED PANC PGSN RJAA RJAH RJBB RJCA RJCB RJCC RJCH RJCO RJEC RJFF RJFS RJFT RJGG RJNA RJNS RJOO RJSA RJSS RJTT RJTY RKPC RKPK RKSI RKSM RKSS RKTU ROAH RONA YMML YSSY,LAMEN A593 DUMET W114 LASAN G327 NINAS B221 SUPAR W505 DSH,
LAMEN-ZSJN-01,KLAX,LAMEN A593 ABTUB,
LAMEN-ZSNB-01,KLAX PAED PANC RJAA RJBB RJCB RJFS RJFU RJGG RJNA RJNS RJOO RJTT RJTY RKPC RKSI RKSM RKSS RKTU ROAH RONA RORS,LAMEN A593 IPRAG W13 HSN W67 OVNEV,
LAMEN-ZSNJ-01,CYVR KLAX PAED PANC PGSN RJAA RJAH RJBB RJCB RJCC RJCO RJFF RJGG RJNA RJNS RJOO RJTT RJTY RKPC RKPK RKSI RKSM RKSS ROAH RONA YMML YSSY,LAMEN A593 PK R343 ESBAG,
LAMEN-ZSNJ-02,PGSN RJAA RJAH RJBB RJCC RJCO RJFF RJGG RJNA RJNS RJOO RJTT RJTY ROAH RONA,LAMEN A593 AKARA A326 IKADI W113 YCH W185 OF,
LAMEN-ZSNT-01,RJAA RJBB RJGG RJNA RJOO RJTT RJTY RKPC RKSI RKSM RKSS ROAH RONA,LAMEN A593 PK G330 XIREM W591 NTG,
LAMEN-ZSOF-01,KLAX PAED PANC RJBB RJGG RJNA RJNS RJOO RKPC RKSI RKSM RKSS,LAMEN A593 PK R343 MADUK,
LAMEN-ZSPD-01,AYPY CYMX CYUL CYVR CYYC CYYZ KATL KBFI KDAL KDET KDFW KDTW KEWR KJFK KLAS KLAX KLGA KMDW KMEM KOAK KORD KPAE KPTK KSEA KSFO KSJC KYIP MMMX MMSD MMTJ MMTJ NZAA PAED PANC PGSN PGUA PGUM PHNL RJAA RJAH RJBB RJCA RJCB RJCC RJCH RJCK RJCO RJEC RJFF RJFK RJFO RJFR RJFS RJFT RJFU RJGG RJNA RJNK RJNS RJNT RJOA RJOB RJOH RJOM RJOO RJOT RJSA RJSF RJSI RJSN RJSS RJTT RJTY RKJB RKJJ RKNY RKNY RKPC RKPK RKSI RKSM RKSS RKTN RKTU ROAH RONA RORS UHHH UHWW YBBN YBCS YMML YSSY,LAMEN A593 PUD,
LAMEN-ZSQD-01,ROAH RONA,LAMEN A593 AKARA A326 IKADI W113 GORPI B221 IDVEL,
LAMEN-ZSSH-01,RJAH RJNS RKPC,LAMEN A593 LAGAL W525 HUN,
LAMEN-ZSSH-02,RJBB RJOO,LAMEN A593 AKARA A326 IKADI W113 YCH W185 NIXEM A593 LAGAL W525 HUN,
LAMEN-ZSSS-01,CYVR CYYZ KBFI KEWR KJFK KLAX KLGA KPAE KSEA KSFO PAED PANC PGSN PGUA PGUM RJAA RJAH RJBB RJCA RJCC RJCO RJEC RJFF RJFK RJFO RJFS RJFT RJFU RJGG RJNA RJOA RJOH RJOO RJOT RJSN RJTT RJTY RKJJ RKNY RKPC RKPK RKSI RKSM RKSS RKTU ROAH RONA,LAMEN A593 PUD SHA,
LAMEN-ZSTX-01,RKSI RKSM RKSS,LAMEN A593 PUD A599 NXD W131 AKDIM A470 DUBGO W133 ABVIL G204 TXN,
LAMEN-ZSWZ-01,RJAA RJBB RJCC RJCK RJCO RJGG RJNA RJNS RJOO RJTT RJTY RKPC RKSI RKSM RKSS,LAMEN A593 DUMET W114 LASAN W13 BEGMO W117 DST,
LAMEN-ZSXZ-01,RJBB RJGG RJNA RJOO RKPC,LAMEN A593 OMUDI W125 DO,
LAMEN-ZSYA-01,RJAA RJAH RJBB RJCC RJCO RJGG RJNA RJOO RJTT RJTY RKPC RKSI RKSM RKSS RORS,LAMEN A593 PIMOL,
LAMEN-ZUCK-01,PGSN RJAA RJBB RJFU RJGG RJNA RJNS RJOO RJTT RJTY RKJB RKPC RKPK RKSI RKSM RKSS RKTN RKTU ROAH RONA UHHH,LAMEN A593 PK R343 MADUK W51 LEGIV W164 ADGOL W50 XSH W80 OPAMU,
LAMEN-ZUGY-01,RKPC RKSI RKSM RKSS,LAMEN A593 PK R343 MADUK W51 LEGIV W164 ADGOL W50 XSH W80 IDGAG A581 HUY W183 TRN W586 KHP,
LAMEN-ZUTF-01,RJAA RJBB RJOO RJTT RJTY,LAMEN A593 PK R343 MADUK W51 LEGIV W164 ADGOL W50 XSH W80 AKOPI,
LAMEN-ZUUU-01,CYVR KSFO RJAA RJBB RJCC RJCO RJFF RJGG RJNA RJOO RJTT RJTY RKPC ROAH RONA RORS YSSY,LAMEN A593 PK R343 MADUK W51 LEGIV W164 ADGOL W50 XSH W80 URGEG W231 EKOKA,
LANDA-ZGSZ-01,NZAA NZCH PGSN PHNL RPLB RPLC RPLI RPLL RPMM RPVE RPVK RPVM VDPP VDSA VDSR VDSV VVCR VVDN VVPQ VVTS WADD WAMM WBGG WBKK WBKK WBSB WIDD WIHH WIII WMKJ WMKK WMKL WMKP WMSA WSAP WSSL WSSS YBBN YBCS YMML YPDN YSSY,LANDA W130 UJ W553 ZUH W23 NLG W509 KEVAR,
LINSO-ZBAA-01,FAOR FSIA FVHA HAAB HKJK HLLT OPIS OPKC VCBI VCCC VIDP VRMM,LINSO A599 SGM A581 IDPOG W56 DUGEB,
LINSO-ZBAA-02,FAOR HAAB OEJN OEMA OMDB OMDW OPKC VABB VCBI VCCC VGHS VIDP VNKT VRMM VYNT VYYY,LINSO A599 SGM W144 IGNAK W179 WFX W81 NSH G212 WJC W193 ALGOV W101 DUDIL W69 GUVBA,
LINSO-ZBAD-01,VNKT VYMD VYYY,LINSO A599 SGM A581 IDPOG W56 ORODO W62 TEKIL G212 BELAX,
LINSO-ZBAD-02,OEJN OERK OERY OMDB OMDW VRMM,LINSO A599 SGM W144 IGNAK W179 WFX W81 NSH G212 BELAX,
LINSO-ZBHH-01,VYMD VYYY,LINSO A599 SGM A581 IDPOG W56 OBMEP B208 TODAM,
LINSO-ZBSJ-01,VYMD VYYY,LINSO A599 SGM W144 IGNAK W179 WFX W81 NSH G212 TONOV,
LINSO-ZBTJ-01,VYMD VYYY,LINSO A599 SGM A581 IDPOG W56 GUVRI W85 OMDEK,
LINSO-ZBTJ-02,FMEE VCBI VCCC VYMD VYYY,LINSO A599 SGM W144 IGNAK W179 WFX W81 NSH G212 TEKIL W85 OMDEK,
LINSO-ZBYN-01,VIDP VYMD VYYY,LINSO A599 SGM W144 IGNAK W179 WFX W81 NSH G212 AVKES W175 TYN,
LINSO-ZGGG-01,DAAG EBLG EDDF FMEE FNLU FVHA HAAB HECA HKJK LLBG LTBA LTFJ OBBI OBBS OEDF OEJN OERK OERY OIIE OIII OKBK OMAA OMAD OMDB OMDW OMSJ OOMS OPIS OPLA ORBI ORER OTBD OTHH UTAA VABB VECC VGEG VGHS VIDP VLVT VNKT VOBG VOBL VOHY VYMD,LINSO A599 GYA,
LINSO-ZGHA-01,VIDP VNKT VOMM VYMD VYYY,LINSO A599 SGM A581 NOMUK W194 ASOGO W610 BEMTA,
LINSO-ZGNN-01,VYYY,LINSO A599 BSE R339 WUY,
LINSO-ZGSZ-01,HECA HKJK LLBG OBBI OBBS OERK OERY OIIE OIII OMDB OMDW OMSJ OPKC OPLA VABB VECC VGHS VIDP VNKT VOMM VYMD VYYY,LINSO A599 POU W7 SAREX W6 NLG W509 KEVAR,
LINSO-ZHCC-01,HAAB VABB VGHS VIDP VYMD VYYY,LINSO A599 SGM A581 IDPOG W56 IGMIG,
LINSO-ZHHH-01,EBLG HAAB HKJK OMDB OMDW OPIS VABB VECC VGHS VIDP VOMM VYMD VYNT VYYY,LINSO A599 SGM A581 LIN W207 TIKME W208 WTM,
LINSO-ZJSY-01,VYMD VYYY,LINSO A599 BSE R339 BHY W70 NYB G221 WL,
LINSO-ZLIC-01,OEJN OMDB OMDW OPKC,LINSO A599 SGM W144 IGNAK W179 OMBON B330 MUDAP W211 ZWX W219 YHD,
LINSO-ZLLL-01,OEJN OPKC VYMD VYYY,LINSO A599 SGM W144 IGNAK W179 OMBON B330 BESMI,
LINSO-ZLXY-01,HECA HKJK OMDB OMDW VABB VCBI VCCC VGHS VIDP VOMM VYMD VYNT VYYY,LINSO A599 SGM W144 IGNAK W179 WFX W81 NSH,
LINSO-ZLYL-01,VYMD VYYY,LINSO A599 SGM W144 IGNAK W179 WFX W81 NSH G212 WJC W193 YLX,
LINSO-ZPLJ-01,VYMD VYYY,LINSO A599 GULOT W146 BUBSU W162 CEH,
LINSO-ZPMS-01,VYMD VYYY,LINSO A599 GMA W633 TOSEM,
LINSO-ZPPP-01,HECA HKJK OEMA OMAA OMAD OMDB OMDW OPIS OPKC OPLA VABB VCBI VCCC VECC VGHS VIDP VNKT VOBG VOBL VOMM VRMM VYMD VYNT VYYY,LINSO A599 GULOT,
LINSO-ZSCN-01,VNKT VYMD VYYY,LINSO A599 SGM A581 IDPOG W56 REPUV W50 XSH W105 PEXEK,
LINSO-ZSFZ-01,VYMD,LINSO A599 POU G471 SHL W22 GUBLO R200 BEBEM A470 FQG,
LINSO-ZSHC-01,OMDB OMDW OTBD OTHH VGHS VIDP VYMD VYYY,LINSO A599 SGM A581 WHA R343 UPLEL W95 SAPIN A470 IGRAT,
LINSO-ZSJN-01,VYMD VYYY,LINSO A599 SGM A581 IDPOG W56 VADMO W4 GULEK,
LINSO-ZSNB-01,VGHS VYMD VYYY,LINSO A599 SGM A581 WHA R343 UPLEL W95 SAPIN A470 UGAGO G204 SHZ,
LINSO-ZSNJ-01,VYMD VYYY,LINSO A599 SGM A581 WHA R343 HFE W51 LEGIV W164 OREVO,
LINSO-ZSNT-01,VABB VGHS VIDP VYMD,LINSO A599 SGM A581 WHA R343 OLRIS G345 UNTAN G330 PIKAS W109 NTG,
LINSO-ZSOF-01,VYMD VYYY,LINSO A599 SGM A581 WHA R343 MIDOX,
LINSO-ZSPD-01,EBLG HAAB HEGN HESN HKJK OBBI OBBS OEDF OEJN OERK OERY OIIE OIII OMAA OMAD OMDB OMDW OMSJ OPLA OTBD OTHH VABB VCBI VCCC VECC VGHS VIDP VNKT VOBG VOBL VOMM VRMM VYMD VYYY,LINSO A599 SGM A581 WHA R343 EKIMU,
LINSO-ZSPD-02,HECA OPKC,LINSO A599 POU G471 PLT A599 ELNEX G204 SHZ W58 XSY,
LINSO-ZSSS-01,OMAA OMAD VCBI VCCC VGHS VIDP VNKT VYYY,LINSO A599 SGM A581 WHA R343 PK,
LINSO-ZSSS-02,OPKC,LINSO A599 POU G471 PLT A599 ELNEX G204 JTN,
LINSO-ZSXZ-01,VYMD VYYY,LINSO A599 SGM A581 WHA R343 HFE W127 ATVIM,
LINSO-ZSYA-01,VYMD VYYY,LINSO A599 SGM A581 WHA R343 OLRIS G345 ZJ W184 PIMOL,
LINSO-ZSYT-01,VYMD,LINSO A599 SGM A581 IDPOG W56 VADMO W4 HCH,
LINSO-ZUCK-01,OMDB OMDW OMSJ OTBD OTHH VABB VCBI VCCC VECC VGHS VIDP VNKT VOBG VOBL VOMM VRMM VYMD VYNT VYYY,LINSO A599 SGM W144 ZAT W145 IDSID W91 APUKI W3 QJG,
LINSO-ZUGY-01,VCBI VCCC VNKT VYMD VYYY,LINSO A599 SGM A581 QNX,
LINSO-ZUTF-01,HAAB HECA OMAA OMAD OMDB OMDW OTBD OTHH VABB VGHS VIDP VOBG VOBL VOMM VRMM VYYY,LINSO A599 SGM W144 IGNAK,
LINSO-ZUUU-01,HAAB HECA LLBG OMAA OMAD OMDB OMDW OMSJ OPKC OPLA OTBD OTHH VABB VCBI VCCC VGHS VIDP VNKT VOBG VOBL VOMM VRMM VTSG VVNB VYMD VYYY,LINSO A599 SGM W144 IGNAK,
MAGIT-ZBAA-01,CYMX CYUL CYVR CYYC CYYZ KBFI KBOS KBWI KDAL KDCA KDET KDFW KDTW KEWR KHIO KHOU KIAD KIAH KJFK KLAS KLAX KLGA KMDW KMEM KORD KPAE KPDX KPHL KPIT KSEA KSFO KSJC KYIP MMTJ PAED PANC PGUA PGUM PHNL UHHH UHPP,MAGIT R213 JMU G212 UKDUM W49 OSUBA,
MAGIT-ZBAD-01,KBFI KDET KDTW KPAE KSEA KYIP UHHH,MAGIT R213 JMU G212 BUMDU,
MAGIT-ZBHH-01,PAED PANC,MAGIT R213 JMU G212 TGO B334 KAKAT W86 TMR,
MAGIT-ZBTJ-01,CYEG CYVR KEWR KJFK KLAX KLGA KMDW KORD KPIT PAED PANC UHHH,MAGIT R213 JMU G212 HRB A588 VENOS W573 DBL W5 EKULI W576 OVTUP W55 DUMAP,
MAGIT-ZGHA-01,KLAX KSFO PAED PANC,MAGIT R213 JMU G212 HRB A588 UDETI W106 MAKNO W5 HCH W4 EKORO W37 PEXID,
MAGIT-ZGSZ-01,CYVR KBFI KBOS KEWR KJFK KLAX KLGA KMDW KORD KPAE KSEA PAED PANC,MAGIT R213 JMU G212 VYK W37 OMBEB R473 NOLON W90 POU W7 SAREX W6 NLG W509 KEVAR,
MAGIT-ZHCC-01,CYVR KEWR KJFK KLAX KLGA KMDW KORD PAED PANC UHHH,MAGIT R213 JMU G212 VYK B215 EKETA B208 NOPIN,
MAGIT-ZHHH-01,CYYZ KEWR KJFK KLGA KSFO PAED PANC,MAGIT R213 JMU G212 HRB A588 UDETI W106 MAKNO W5 HCH W4 EKORO W37 ENLAB,
MAGIT-ZJSY-01,UHBB UHHH,MAGIT R213 JMU G212 VYK W37 OMBEB R473 WYN W18 TAMOT SIKOU A202 SAMAS G221 WL,
MAGIT-ZLXY-01,CYVR KBFI KLAX KPAE KSEA KSFO PAED PANC,MAGIT R213 JMU G212 BUMDU W47 LOVRA,
MAGIT-ZSHC-01,KLAX KSFO PAED PANC UEEE UHHH,MAGIT R213 JMU G212 HRB A588 CHI W107 SANKO A326 AKARA A593 DUMET W114 LASAN G327 NINAS B221 SUPAR W505 DSH,
MAGIT-ZSHC-02,KSFO,MAGIT R213 JMU G212 SOTMU W98 ELKUR W40 YQG W142 DALIM A593 DPX A470 OF W95 SAPIN A470 IGRAT,
MAGIT-ZSJN-01,KEWR KJFK KLAX KLGA KSJC,MAGIT R213 JMU G212 HRB A588 UDETI W106 MAKNO W5 HCH W4 BASOV,
MAGIT-ZSNJ-01,CYVR KLAX KMDW KORD PAED PANC,MAGIT R213 JMU G212 SOTMU W98 ELKUR W40 YQG W142 DALIM A593 DPX A470 OF,
MAGIT-ZSPD-01,CYMX CYUL CYVR CYYZ KATL KBFI KBWI KDAL KDCA KDET KDFW KDTW KEWR KHIO KIAD KJFK KLAS KLAX KLGA KMDW KMEM KORD KPAE KPDX KSEA KSFO KSJC KYIP PAED PANC PGSN PHNL,MAGIT R213 JMU G212 SOTMU W98 ELKUR W40 YQG W142 DALIM A593 DPX A470 DALNU W166 ZJ W167 SASAN R343 EKIMU,
MAGIT-ZSPD-02,CYEG CYMX CYUL CYVR CYYC CYYZ KATL KBFI KBOS KBWI KCVG KDAL KDCA KDET KDFW KDTW KEWR KIAD KJFK KLAS KLAX KLGA KLUK KMDW KMEM KMIA KMWH KORD KPAE KSDF KSEA KSFO KSJC KYIP MMTJ PAED PANC PGSN PHNL,MAGIT R213 JMU G212 HRB A588 CHI W107 SANKO A326 AKARA A593 PUD,
MAGIT-ZSQD-01,CYVR CYYZ KLAX KSFO,MAGIT R213 JMU G212 HRB A588 UDETI W106 MAKNO W5 HCH W651 NOKUD,
MAGIT-ZSSS-01,CYVR CYYZ KBFI KEWR KJFK KLAX KLGA KPAE KSEA KSFO PAED PANC,MAGIT R213 JMU G212 SOTMU W98 ELKUR W40 YQG W142 DALIM A593 DPX A470 DALNU W166 ZJ W167 SASAN R343 PK,
MAGIT-ZSYT-01,PAED PANC,MAGIT R213 JMU G212 HRB A588 VENOS W573 DBL W5 GUMED,
MAGIT-ZUCK-01,KEWR KJFK KLAX KLGA KMDW KORD KSFO PAED PANC,MAGIT R213 JMU G212 VYK W37 DUBAS R343 WHA A581 IDGAG W80 OPAMU,
MAGIT-ZUGY-01,PAED PANC,MAGIT R213 JMU G212 VYK W37 DUBAS R343 WHA A581 HUY W183 TRN W586 KHP,
MAGIT-ZUUU-01,KSFO,MAGIT R213 JMU G212 VYK B215 GODON W43 ATERI W193 WJC G212 SUBUL W230 AKDIK,
MAGIT-ZYCC-01,UHHH,MAGIT R213 JMU G212 HRB A588 PABKI W655 DUKIR,
MAGIT-ZYHB-01,CYYZ KLAX KSJC PAED PANC UHHH UHSS,MAGIT R213 JMU G212 IGADO,
MAGIT-ZYTL-01,UHHH,MAGIT R213 JMU G212 HRB A588 VENOS,
MAGIT-ZYTX-01,CYVR KLAX KSFO UHHH,MAGIT R213 JMU G212 HRB A588 LEMOT,
MAGOG-ZGOW-01,RPLL RPMM RPVK RPVM VDSV VTBD VTBS VTSG VTSP VVCR VVDN WADD WBKK WBSB WMKK WMKP WSAP WSSL WSSS,MAGOG A470 DOTMI,
MAGOG-ZSAM-01,RPLC RPLL RPLP RPMM RPVK RPVM VDPP VDSA VDSR VDSV VTBD VTBS VTSP VVCR VVDN VVTS WADD WBKK WIHH WIII WMKK WMKP WSAP WSSL WSSS YMML YSSY,MAGOG A470 TEBON,
MAGOG-ZSFZ-01,RPLL RPMM RPVE RPVK RPVM VDPP VDSA VDSR VDSV VTBD VTBS VTSG VTSP VVCR VVDN VVTS WADD WAMM WBGG WBKK WIHH WIII WMKK WSAP WSSL WSSS YSSY,MAGOG A470 FQG,
MAGOG-ZSHC-01,RPLC RPLL RPMM RPVE RPVK RPVM VDPP VDSV VVCR VVDN VVPQ VVTS WADD WADL WAMM WBKK WBKK WBSB WIDD WIDN WMKK WMKL WMKP WSAP WSSL WSSS YMML YSSY,MAGOG A470 UGAGO,
MAGOG-ZSNB-01,RPLL RPMM RPVE RPVK RPVM VDPP VDSA VDSR VDSV VVCR VVDN VVPQ VVTS WADD WAMM WBKK WIHH WIII WMKK WSAP WSSL WSSS YPDN,MAGOG A470 LJG B221 SHZ,
MAGOG-ZSNJ-01,RPLC RPLI RPLL RPMM RPVE RPVK RPVM WADD WAMM WBKK WMKK WMSA YMML YSSY,MAGOG A470 EMRID W135 GOSRO,
MAGOG-ZSNT-01,RPVK VDSV VVCR WSAP WSSL WSSS,MAGOG A470 LJG B221 SHZ G204 JTN W116 PK G330 XIREM W591 NTG,
MAGOG-ZSPD-01,AYPY FIMP FIMP NZAA RPLB RPLC RPLI RPLL RPMM RPVE RPVK RPVM VDPP VDSA VDSR VDSV VRMM VTBD VTBS VTBU VTSB VTSG VTSP VVCR VVDN VVPQ VVTS WADD WAMM WBGG WBKK WBKL WBSB WIDD WIHH WIII WMKJ WMKK WMKP WSAP WSSL WSSS YBBN YBCS YMML YSSY,MAGOG A470 LJG B221 SHZ W58 XSY,
MAGOG-ZSQD-01,VDSA VDSR VVCR WMKK WSAP WSSL WSSS YMML YSSY,MAGOG A470 LJG B221 DST W117 BEGMO W13 PINOT B221 IDVEL,
MAGOG-ZSQZ-01,RPLL RPMM,MAGOG A470 XLN,
MAGOG-ZSSH-01,VVCR,MAGOG A470 EMRID W135 DOGVI A470 OF W178 LAGAL W525 HUN,
MAGOG-ZSSS-01,RPLB RPLL RPMM RPVK RPVM VVCR VVDN WADD WBKK WMKK YSSY,MAGOG A470 LJG B221 SHZ G204 JTN,
MAGOG-ZSTX-01,VVTS,MAGOG A470 UGAGO G204 TXN,
MAGOG-ZSWZ-01,RPLL RPMM RPVK VDPP VDSA VDSR VDSV VTBD VTBS VTCC VVCR VVDN WADD WAMM,MAGOG A470 LJG B221 DST,
MAGOG-ZSXZ-01,VVCR,MAGOG A470 EMRID W135 DOGVI A470 DPX W126 DO,
MORIT-ZBDS-01,EDFH UIII UNNT USSS,MORIT B330 GOBIN W66 DKO W64 OMGEL W193 ALGOV,
MORIT-ZGGG-01,EBBR EBCI EDDF EFHK EGAE EGCC EGGW EGKK EGLL EGSS EHAM LEMD LETO LFAT LFPB LFPG LFPO LIMB LIMC LIML LIRA LIRF,MORIT B330 KWE W181 DUDIT A599 GYA,
MORIT-ZGSZ-01,EBBR EBCI EBLG EDDF EGAE EGGW EGKK EGLL EGSS EHAM EIDW GMMN KBOS LEBL LEMD LETO LFAT LFPB LFPG LFPO LIRA LIRF LOWW LSZH,MORIT B330 KWE W181 DUDIT A599 POU W7 SAREX W6 NLG W509 KEVAR,
MORIT-ZJHK-01,ULLI UNNT UNOO USSS UUDD UUEE UUMO UUWW UWKD UWUU UWWW,MORIT B330 KWE W181 DUDIT A599 LBN R343 WUY R339 BHY W70 NYB,
MORIT-ZJSY-01,UIII UIUU ULLI UNAA UNEE UNKL UNNT UNTT USPP USSS UUDD UUEE UUMO UUWW UWGG UWKD UWUU UWWW,MORIT B330 KWE W181 DUDIT A599 LBN R343 WUY R339 BHY W70 NYB G221 WL,
MORIT-ZLIC-01,UIII,MORIT B330 YBL W199 YHD,
MORIT-ZLLL-01,UUDD UUEE UUMO UUWW,MORIT B330 AKMAT,
MORIT-ZLXY-01,CYYZ EBBR EBCI EDFH EFHK EGAE EGGW EGKK EGLL EGSS EHAM ELLX ENFB ENGM ESKN ESOW ESSA ESSB GMMN KEWR KJFK KLGA LEBL LEMD LETO LFAT LFPB LFPG LFPO LHBP LIRA LIRF LKPR LOWW LPPT LSZH UIII ULLI UNNT USSS UUDD UUEE UUMO UUWW,MORIT B330 XIXAN W214 HO,
MORIT-ZPPP-01,LFAT LFPB LFPG LFPO LTBA LTFJ ULLI UUDD UUEE UUMO UUWW,MORIT B330 UBKER G212 SGM,
MORIT-ZUCK-01,EDDF EDFH EFHK EGAE EGCC EGGW EGKK EGLL EGSS EHAM ELLX ENFB ENGM KEWR KJFK KLGA LFAT LFPB LFPG LFPO LHBP LIRA LIRF UIII ULLI UNKL UNNT USSS UUDD UUEE UUMO UUWW,MORIT B330 OVRAL W242 SANUK W180 AKBEK,
MORIT-ZUGY-01,EGAE EGGW EGKK EGLL EGSS LFAT LFPB LFPG LFPO ULLI UNNT UUDD UUEE UUMO UUWW,MORIT B330 QNX,
MORIT-ZUTF-01,EDDF EGAE EGGW EGKK EGLL EGSS KEWR KJFK KLGA KMDW KORD LFAT LFPB LFPG LFPO ULLI UUDD UUEE UUMO UUWW,MORIT B330 MEXAD,
MORIT-ZUUU-01,EDDF EDDM EFHK EGAE EGGW EGKK EGLL EGSS EHAM EKCH EKRK KBOS KEWR KJFK KLGA KMDW KORD LEMD LETO LFAT LFPB LFPG LFPO LHBP LIMB LIMC LIML LIRA LIRF LKPR LOWW LTBA LTFJ UIII ULLI UNKL UNNT USSS UUBW UUDD UUEE UUMO UUWW UWUU,MORIT B330 MEXAD,
MORIT-ZWWW-01,UIII,MORIT B330 GOBIN W66 NUKTI B215 HAM W99 FKG B215 WUR,
NIXAL-ZBDS-01,UIII ZMUB,NIXAL B208 HET W84 TOREL W69 DUDIL W101 ALGOV,
NIXAL-ZBHH-01,UIBB ULLI UNNT UUDD UUEE UUMO UUWW,NIXAL G343 TMR,
NIXAL-ZBSJ-01,EETN ULLI UNNT UUDD UUEE UUMO UUWW,NIXAL B208 TYN W87 PARTU G212 TONOV,
NIXAL-ZBYN-01,CYYZ EPWA UNKL UUDD UUEE UUMO UUWW,NIXAL B208 TYN,
NIXAL-ZGHA-01,EBBR EBCI EBLG EDDF EHAM ULLI UNNT UUDD UUEE UUMO UUWW,NIXAL B208 CGO W129 KAMDA W128 DUDBI W37 PEXID,
NIXAL-ZGSZ-01,EBBR EBCI EBLG EDDF EGAE EGGW EGKK EGLL EGSS EHAM EIDW LHBP LIRA LIRF ULLI UNAA UUDD UUEE UUMO UUWW UWLW,NIXAL G343 TMR B458 DADGA W37 OMBEB R473 NOLON W90 POU W7 SAREX W6 NLG W509 KEVAR,
NIXAL-ZHCC-01,EBBR EBCI EBLG EDAC EDDF EDDP EDFH EDOP EFHK EGAE EGGW EGKK EGLL EGSS EHAM ELLX LEMD LETO LIMB LIMC LIML LKPR UIUU ULLI UMMS UNKL UNNT USSS UUBW UUDD UUEE UUMO UUWW UWUU,NIXAL B208 NOPIN,
NIXAL-ZHHH-01,EBLG EDDF EGAE EGGW EGKK EGLL EGSS EHAM ELLX ENFB ENGM LFAT LFPB LFPG LFPO LIRA LIRF ULLI UNNT UUDD UUEE UUMO UUWW,NIXAL B208 CGO W129 KAMDA W128 DUDBI W37 ENLAB,
NIXAL-ZSAM-01,EDDF EHAM ULLI UUDD UUEE UUMO UUWW,NIXAL B208 CGO W129 KAMDA W128 FYG B208 HFE R343 UPLEL W95 SAPIN A470 AMURI,
NIXAL-ZSCN-01,EBLG UAKK UNNT UUDD UUEE UUMO UUWW,NIXAL B208 CGO W129 KAMDA W128 DUDBI W37 HG W50 XSH W105 PEXEK,
NIXAL-ZSCN-02,EBLG,NIXAL B208 CGO W129 KAMDA W128 DUDBI W37 HG W50 XSH W105 PEXEK,
NIXAL-ZSFZ-01,ULLI UUDD UUEE UUMO UUWW,NIXAL B208 CGO W129 KAMDA W128 FYG B208 HFE R343 UPLEL W95 SAPIN A470 LJG,
