Route Code,Destination AD,Fly along,
ZBAD-NONIM-01,VNKT,PEGSO B215 GODON W43 ATERI W193 WJC G212 JTG W236 CTU B213 LXA B345 NONIM,
ZBAD-POLHO-01,KBFI KDET KDTW KPAE KSEA KYIP,IDKEX B339 POLHO,
ZBAD-PURPA-01,OMDB OMDW,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 IBANO W187 MAGIV B215 PURPA,
ZBAD-PURPA-02,OMAA OMAD OTBD OTHH,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 IBANO W187 TUSLI W112 PURPA,
ZBAD-SARIN-01,EGAE EGGW EGKK EGLL EGSS EHAM EPWA GMMN LTBA LTFJ,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 FKG A368 SARIN,
ZBAD-SIMLI-01,KBFI KDET KDTW KPAE KSEA KYIP,DOTRA B334 TGO G212 HRB A588 SIMLI,
ZBAD-TAMOT-01,RPLL RPMM RPVK VDPP VVCR VVDN VVNB VVTS WADD WAMM WBKK WBSB WMKK WSAP WSSL WSSS,OMDEK W37 OMBEB R473 WYN W18 TAMOT,
ZBDS-AGAVO-01,RJBB RJOO,OMDIS W104 LEBOM B215 GODON W87 PARTU G212 VYK W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO,
ZBDS-INTIK-01,UIII,ALGOV W101 VALNI W64 UBRAG W84 HET W32 INTIK,
ZBDS-KATBO-01,VVCR VVNB VVTS,YLX W193 WJC G212 SGM A599 ADBAG R471 KATBO,
ZBDS-MORIT-01,EDFH UNNT,ALGOV W193 EGILO W69 DKO W66 GOBIN B330 MORIT,
ZBDS-MORIT-02,USSS,HDS W48 DKO W66 GOBIN B330 MORIT,
ZBDS-NIXAL-01,UIII ZMUB,ALGOV W101 VALNI W64 UBRAG W84 HET B208 NIXAL,
ZBDS-SAGAG-01,VDSA VDSR VTBD VTBS VTSP WIDD,YLX W193 WJC G212 SGM A581 SAGAG,
ZBHH-AGAVO-01,RJBB RJGG RJNA RJOO RKPC RKSI RKSM RKSS,LUGVU W69 HUR B339 LADIX W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO,
ZBHH-ARGUK-01,PAED PANC,TMR W86 KAKAT B334 TGO G212 ARGUK,
ZBHH-INTIK-01,UIII UUDD UUEE UUMO UUWW ZMUB,TMR B458 LHT A575 INTIK,
ZBHH-NIXAL-01,UIBB ULLI UNNT UUDD UUEE UUMO UUWW,TMR G343 NIXAL,
ZBHH-SARIN-01,UUDD UUEE UUMO UUWW,DUDIL W69 DKO W66 NUKTI B215 FKG A368 SARIN,
ZBHH-TAMOT-01,VVCR VVDN,TODAM B208 CGO W129 KAMDA W128 DUDBI W37 OMBEB R473 WYN W18 TAMOT,
ZBLA-SARUL-01,ZMCD ZMUB,HLD A345 KAGAK G338 SARUL,
ZBLA-TELOK-01,UIAA UIII UIUU,HLD A345 TELOK,
ZBMZ-SARUL-01,ZMUB,MZL W606 IKARU G338 SARUL,
ZBMZ-TELOK-01,UIAA UIII UIUU UNAA UNBB UNKL UNNT,MZL W539 MANLI A345 TELOK,
ZBSJ-AGAVO-01,RJAA RJBB RJFS RJGG RJNA RJNS RJOO RJTT RJTY RKPC RKPK RKSI RKSM RKSS RKTU,AREKU W640 BELAX G212 VYK W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO,
ZBSJ-INTIK-01,UIII UIUU UNKL,ADBES B215 EKETA B208 HET W32 INTIK,
ZBSJ-LAMEN-01,RORS,UKMIS W562 OVNUG W40 YQG W142 DALIM A593 PK W116 JTN G327 LAMEN,
ZBSJ-LINSO-01,VYMD VYYY,ADBES B215 GODON W43 ATERI W193 WJC G212 SGM A599 LINSO,
ZBSJ-NIXAL-01,EETN ULLI UNNT UUDD UUEE UUMO UUWW,ADBES B215 EKETA B208 NIXAL,
ZBSJ-TAMOT-01,VVCR VVDN,UKMIS W624 OTKAB W37 OMBEB R473 WYN W18 TAMOT,
ZBTJ-AGAVO-01,KLAX NZAA PAED PANC PGSN PGUA PGUM RJAA RJAH RJBB RJBD RJCA RJCB RJCC RJCH RJCO RJEC RJFF RJFR RJFS RJFU RJGG RJNA RJNS RJNT RJOO RJSA RJTT RJTY RKJB RKNW RKNY RKPC RKPK RKPS RKSI RKSM RKSS RKTN ROAH RONA YSSY,MUGLO W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO,
ZBTJ-ARGUK-01,CYVR KEWR KJFK KLGA KMDW KORD KPIT PAED PANC UHHH,MUGLO W34 VAPGU W100 ORAVA W201 UNSEK A326 MAKNO W106 UDETI A588 HRB G212 ARGUK,
ZBTJ-BISUN-01,UHWW,MUGLO W34 VAPGU W100 ORAVA W201 UNSEK A326 MAKNO W106 UDETI A588 LJB G341 WQG B451 BISUN,
ZBTJ-INTIK-01,EBBR EBCI EBLG EDDF EDDM EDFH EETN EGAE EGCC EGGW EGKK EGLL EGSS EHAM EKCH EKRK ELLX ESKN ESOW ESSA ESSB EYKA LEMD LETO LEZG LFAT LFBO LFPB LFPG LFPO LIBD LIMB LIMC LIML LOWW UIBB UIII UKBB UKBU UKKK UKKM UNBB UNKL UNNT USSS UUDD UUEE UUMO UUWW UWLW UWUU UWWW ZMUB,IDKEX B339 ASILA A575 INTIK,
ZBTJ-KAMUD-01,UAFO UTSA UTTT,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 KABDO W119 LIMDO A468 KAMUD,
ZBTJ-LINSO-01,VYMD VYYY,OMDEK W37 DUBAS R343 WHA A581 QNX W136 XISLI A581 SGM A599 LINSO,
ZBTJ-PURPA-01,OMAA OMAD OMDB OMDW OMSJ,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 IBANO W187 MAGIV B215 PURPA,
ZBTJ-PURPA-02,OMAA OMAD OMDB OMDW OMSJ,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 IBANO W187 TUSLI W112 PURPA,
ZBTJ-RULAD-01,UAAA UTTT,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 KABDO W119 GOBOK A343 RULAD,
ZBTJ-SAGAG-01,VTCA VTCC VTCT VYYY,OMDEK W37 DUBAS R343 WHA A581 QNX W136 XISLI A581 SAGAG,
ZBTJ-SARIN-01,EBBR EBCI EPWA LEMD LETO LYBE LYBT UACC UBBB UKBB UKBU UKKK UKKM,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 FKG A368 SARIN,
ZBTJ-SIMLI-01,CYVR KEWR KJFK KLGA KPIT,MUGLO W34 VAPGU W100 ORAVA W201 UNSEK A326 MAKNO W106 UDETI A588 SIMLI,
ZBTJ-TAMOT-01,NZAA RPLL RPMM RPVK RPVP VVCR WADD WAMM WBKK WMKK WSAP WSSL WSSS YSSY,OMDEK W37 OMBEB R473 WYN W18 TAMOT,
ZBTJ-TEBAK-01,FMEE VDPP VDSA VDSR VDSV VTBD VTBS VTBU VTSG VTSP VVCI VVCR VVDL VVDN VVPQ WIDD,OMDEK W37 OLMIB W83 GOSMA R343 WUY R474 TEBAK,
ZBTJ-TOMUK-01,ZKPY,MUGLO W34 VAPGU W100 ORAVA W201 UNSEK A326 SANKO B332 TOMUK,
ZBYN-AGAVO-01,RJAA RJBB RJNS RJOO RJSN RJTT RJTY RKJB RKPC RKSI RKSM RKSS,TYN W87 PARTU G212 VYK W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO,
ZBYN-ARGUK-01,KSFO,TYN W87 PARTU G212 SOTMU B339 HUR B334 TGO G212 ARGUK,
ZBYN-BISUN-01,UHWW,TYN B208 HET G218 TMR W86 KAKAT B334 TGO G341 WQG B451 BISUN,
ZBYN-LINSO-01,VYMD VYYY,TYN W87 GODON W43 ATERI W193 WJC G212 SGM A599 LINSO,
ZBYN-NIXAL-01,CYYZ UNKL UUDD UUEE UUMO UUWW,TYN B208 NIXAL,
ZBYN-SAGAG-01,VTBD VTBS VTBU VTSG,TYN W87 GODON W43 ATERI W193 WJC G212 SGM A581 SAGAG,
ZBYN-TAMOT-01,VVCR VVDN WADD WSAP WSSL WSSS,BISAL W175 BIVAT W210 PADNO B208 CGO W129 KAMDA W128 DUDBI W37 OMBEB R473 WYN W18 TAMOT,
ZGDY-KATBO-01,VVDN VVNB VVTS,DYG W140 HUY A581 QNX W136 XISLI A581 SGM A599 ADBAG R471 KATBO,
ZGDY-LAMEN-01,RJBB RJFF RJOO RKJB RKNY RKPK RKSI RKSM RKSS RKTN RKTU,DYG W141 LIN A581 WHA R343 PK W116 JTN G327 LAMEN,
